mode,strategy_id,strategy_name,player_count,win,loss_reason,turns,progress,safety,accident,hazards,redraws_used,completed_tasks,knowledge_count,avg_contribution,max_contribution,min_contribution
teaching,none,无策略,4,0,progress_shortfall,8,4,2,3,2,3,4,8,1.75,4,-1
teaching,none,无策略,4,0,hazard_overflow,8,2,5,0,5,3,2,8,2,3,1
teaching,none,无策略,4,0,progress_shortfall,8,5,7,0,2,2,5,8,2.5,4,2
teaching,none,无策略,4,0,progress_shortfall,8,3,3,2,2,3,3,6,1.5,2,1
teaching,none,无策略,4,0,progress_shortfall,8,4,6,0,0,3,4,7,2.5,4,2
teaching,none,无策略,4,0,progress_shortfall,8,6,11,0,1,1,6,7,3.5,4,2
teaching,none,无策略,4,0,progress_shortfall,8,4,7,0,0,3,4,8,3,4,1
teaching,none,无策略,4,0,progress_shortfall,8,5,6,0,0,3,5,8,2,3,-1
teaching,none,无策略,4,0,safety_zero,5,2,0,2,2,3,2,4,0.75,4,-1
teaching,none,无策略,4,0,progress_shortfall,8,4,8,0,0,0,4,8,2.75,4,1
teaching,none,无策略,4,0,progress_shortfall,8,5,5,0,1,3,5,7,2,3,1
teaching,none,无策略,4,0,progress_shortfall,8,4,2,0,1,3,4,7,1.75,2,1
teaching,none,无策略,4,0,progress_shortfall,8,4,8,0,0,3,3,7,2.5,3,2
teaching,none,无策略,4,0,progress_shortfall,8,3,4,0,4,3,3,6,2,3,1
teaching,none,无策略,4,0,progress_shortfall,8,2,4,0,4,3,2,7,1.75,3,1
teaching,none,无策略,4,0,progress_shortfall,8,6,10,0,0,1,6,7,3.25,4,2
teaching,none,无策略,4,0,progress_shortfall,8,4,7,0,0,2,3,7,2.5,4,1
teaching,none,无策略,4,0,progress_shortfall,8,4,3,1,0,2,4,6,2.25,4,1
teaching,none,无策略,4,0,progress_shortfall,8,5,9,0,2,3,5,7,2.5,4,2
teaching,none,无策略,4,0,progress_shortfall,8,2,2,0,4,3,2,7,1.5,2,1
teaching,none,无策略,4,0,progress_shortfall,8,3,6,0,2,3,3,8,2.5,3,2
teaching,none,无策略,4,0,hazard_overflow,5,0,3,0,5,3,0,4,0.5,1,0
teaching,none,无策略,4,0,progress_shortfall,8,5,10,0,0,1,5,7,3.25,4,1
teaching,none,无策略,4,0,progress_shortfall,8,3,7,0,1,3,3,7,2.5,4,1
teaching,none,无策略,4,0,progress_shortfall,8,6,9,0,1,2,5,7,3,4,2
teaching,none,无策略,4,0,progress_shortfall,8,4,5,0,0,3,4,7,2.75,4,1
teaching,none,无策略,4,0,progress_shortfall,8,3,10,0,0,1,3,7,2.75,4,1
teaching,none,无策略,4,0,progress_shortfall,8,6,10,0,0,1,6,8,3.5,4,3
teaching,none,无策略,4,0,progress_shortfall,8,5,9,0,0,1,5,8,3,4,1
teaching,none,无策略,4,0,progress_shortfall,8,2,3,0,2,3,2,7,2,3,1
teaching,none,无策略,4,0,progress_shortfall,8,3,8,0,0,3,3,6,2.75,4,1
teaching,none,无策略,4,0,progress_shortfall,8,3,1,0,2,3,3,8,2.25,4,1
standard,none,无策略,4,0,progress_shortfall,8,2,3,0,3,2,2,7,2,3,1
standard,none,无策略,4,0,progress_shortfall,8,5,3,0,1,2,5,8,2.75,4,2
standard,none,无策略,4,0,progress_shortfall,8,2,6,0,2,2,2,7,2.5,3,2
standard,none,无策略,4,0,safety_zero,7,3,-1,3,3,2,3,7,1,3,-1
standard,none,无策略,4,0,safety_zero,5,1,-1,3,4,2,0,4,0,1,-1
standard,none,无策略,4,0,progress_shortfall,8,4,8,0,0,2,4,7,3.5,4,2
standard,none,无策略,4,0,progress_shortfall,8,3,5,0,2,2,3,7,2.25,3,1
standard,none,无策略,4,0,progress_shortfall,8,5,9,0,2,2,5,7,2.75,4,1
standard,none,无策略,4,0,safety_zero,8,4,-1,2,2,2,4,8,1.25,3,-2
standard,none,无策略,4,0,safety_zero,8,2,0,0,3,2,2,8,1.75,3,0
standard,none,无策略,4,0,hazard_overflow,6,0,1,3,5,2,0,5,0.5,2,-1
standard,none,无策略,4,0,progress_shortfall,8,4,9,0,0,2,4,7,3.25,4,3
standard,none,无策略,4,0,progress_shortfall,8,5,3,1,0,2,5,7,2,4,-1
standard,none,无策略,4,0,progress_shortfall,8,3,6,0,2,2,3,6,2.75,4,2
standard,none,无策略,4,0,safety_zero,7,0,-1,2,2,2,0,6,1.5,3,0
standard,none,无策略,4,0,progress_shortfall,8,5,2,1,1,2,5,7,2.25,4,1
standard,none,无策略,4,0,progress_shortfall,8,5,7,0,0,2,5,8,3.25,4,2
standard,none,无策略,4,0,progress_shortfall,8,3,2,2,3,2,3,6,1,3,-1
standard,none,无策略,4,0,progress_shortfall,8,4,6,1,1,1,4,8,2.25,4,0
standard,none,无策略,4,0,accident_limit,5,0,1,4,3,2,0,5,0.75,2,-1
standard,none,无策略,4,0,safety_zero,7,2,0,1,1,2,2,6,1.5,4,-1
standard,none,无策略,4,0,progress_shortfall,8,4,5,0,1,2,3,7,2.25,4,1
standard,none,无策略,4,0,progress_shortfall,8,4,4,0,1,2,3,8,2.25,3,2
standard,none,无策略,4,0,progress_shortfall,8,3,1,1,4,2,3,7,1.75,4,-1
standard,none,无策略,4,0,safety_zero,8,2,0,2,2,2,2,5,1.75,3,0
standard,none,无策略,4,0,hazard_overflow,5,0,4,2,5,2,0,4,0.75,1,0
standard,none,无策略,4,0,progress_shortfall,8,5,7,0,0,2,5,8,3,4,2
standard,none,无策略,4,0,safety_zero,8,3,0,2,4,2,3,7,1.75,4,0
standard,none,无策略,4,0,progress_shortfall,8,5,9,0,0,2,5,7,3,4,2
standard,none,无策略,4,0,progress_shortfall,8,4,6,0,0,2,4,7,2.5,4,0
standard,none,无策略,4,0,progress_shortfall,8,5,9,0,1,1,5,8,3.25,4,2
standard,none,无策略,4,0,safety_zero,8,3,0,1,4,2,3,6,1.75,4,0
standard,none,无策略,4,0,progress_shortfall,8,3,4,0,1,2,3,7,2,4,0
standard,none,无策略,4,0,progress_shortfall,8,2,1,2,3,2,2,6,1.25,4,-1
standard,none,无策略,4,0,progress_shortfall,8,5,7,0,1,1,5,7,3.25,4,1
standard,none,无策略,4,0,progress_shortfall,8,2,3,1,1,2,2,8,2.5,4,1
standard,none,无策略,4,0,progress_shortfall,8,6,8,0,0,2,6,8,3.25,4,2
standard,none,无策略,4,0,safety_zero,4,1,0,4,3,2,1,3,0,2,-1
standard,none,无策略,4,0,progress_shortfall,8,1,3,0,1,2,1,8,2.5,4,2
standard,none,无策略,4,0,progress_shortfall,8,6,7,0,0,2,6,8,2.75,3,2
standard,none,无策略,4,0,progress_shortfall,8,4,2,1,3,2,4,7,2,4,0
standard,none,无策略,4,0,progress_shortfall,8,5,7,0,0,1,4,7,3,4,2
standard,none,无策略,4,0,progress_shortfall,8,4,4,1,1,2,3,8,2,4,-1
standard,none,无策略,4,0,progress_shortfall,8,3,7,1,1,2,3,7,2.75,4,1
standard,none,无策略,4,0,progress_shortfall,8,3,1,1,3,2,3,7,1.75,3,-1
standard,none,无策略,4,0,safety_zero,6,1,-1,2,5,2,1,6,0.75,2,0
standard,none,无策略,4,0,progress_shortfall,8,4,5,0,1,2,4,7,2.75,4,1
standard,none,无策略,4,0,progress_shortfall,8,4,5,1,2,2,4,8,2.25,4,-1
standard,none,无策略,4,0,progress_shortfall,8,2,3,1,2,2,2,5,2.25,4,1
